time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm)
2010-01-01,2.2,-2.6,-0.4,2010-01-01T09:04,2010-01-01T17:04,0.00,0.00,0.00
2010-01-02,3.4,-1.0,0.5,2010-01-02T09:03,2010-01-02T17:05,0.00,0.00,0.00
2010-01-03,2.0,-3.4,-0.6,2010-01-03T09:03,2010-01-03T17:06,0.00,0.00,0.00
2010-01-04,1.1,-5.4,-3.0,2010-01-04T09:03,2010-01-04T17:07,0.00,0.00,0.00
2010-01-05,1.6,-4.3,-2.1,2010-01-05T09:03,2010-01-05T17:08,2.30,0.20,1.47
2010-01-06,0.4,-3.0,-0.3,2010-01-06T09:02,2010-01-06T17:10,10.30,0.00,7.28
2010-01-07,-0.1,-6.7,-3.1,2010-01-07T09:02,2010-01-07T17:11,0.00,0.00,0.00
2010-01-08,0.2,-6.5,-2.9,2010-01-08T09:01,2010-01-08T17:12,0.00,0.00,0.00
2010-01-09,0.4,-3.6,-1.5,2010-01-09T09:01,2010-01-09T17:13,0.00,0.00,0.00
2010-01-10,1.3,-0.3,0.6,2010-01-10T09:00,2010-01-10T17:15,2.90,0.60,1.89
2010-01-11,0.4,-1.1,-0.2,2010-01-11T09:00,2010-01-11T17:16,1.30,0.00,0.98
2010-01-12,1.0,-2.0,-0.3,2010-01-12T08:59,2010-01-12T17:18,0.00,0.00,0.00
2010-01-13,0.4,-1.2,-0.2,2010-01-13T08:58,2010-01-13T17:19,3.60,0.00,2.80
2010-01-14,2.7,-1.8,1.0,2010-01-14T08:58,2010-01-14T17:21,2.80,2.80,0.00
2010-01-15,5.2,0.3,2.8,2010-01-15T08:57,2010-01-15T17:22,0.10,0.10,0.00
2010-01-16,7.4,2.9,5.2,2010-01-16T08:56,2010-01-16T17:24,4.40,4.40,0.00
2010-01-17,8.0,1.4,4.9,2010-01-17T08:55,2010-01-17T17:25,2.70,2.70,0.00
2010-01-18,8.4,-0.2,3.7,2010-01-18T08:54,2010-01-18T17:27,0.00,0.00,0.00
2010-01-19,7.4,3.1,5.0,2010-01-19T08:53,2010-01-19T17:29,0.00,0.00,0.00
2010-01-20,4.5,1.6,2.6,2010-01-20T08:52,2010-01-20T17:30,4.90,3.20,1.19
2010-01-21,4.6,0.8,2.6,2010-01-21T08:51,2010-01-21T17:32,0.00,0.00,0.00
2010-01-22,7.6,4.4,6.4,2010-01-22T08:50,2010-01-22T17:34,2.40,2.40,0.00
2010-01-23,7.0,3.7,6.0,2010-01-23T08:48,2010-01-23T17:35,0.90,0.90,0.00
2010-01-24,5.9,2.1,3.6,2010-01-24T08:47,2010-01-24T17:37,0.30,0.30,0.00
2010-01-25,4.1,1.4,2.9,2010-01-25T08:46,2010-01-25T17:39,1.80,1.80,0.00
2010-01-26,2.1,-2.7,0.3,2010-01-26T08:45,2010-01-26T17:40,0.00,0.00,0.00
2010-01-27,6.1,-3.4,0.8,2010-01-27T08:43,2010-01-27T17:42,0.00,0.00,0.00
2010-01-28,5.9,1.9,4.5,2010-01-28T08:42,2010-01-28T17:44,0.70,0.70,0.00
2010-01-29,4.3,-1.2,2.8,2010-01-29T08:41,2010-01-29T17:46,4.50,4.50,0.00
2010-01-30,2.9,-2.7,-0.6,2010-01-30T08:39,2010-01-30T17:47,0.00,0.00,0.00
2010-01-31,3.5,-3.7,-1.1,2010-01-31T08:38,2010-01-31T17:49,0.00,0.00,0.00
2010-02-01,4.1,-1.2,0.6,2010-02-01T08:36,2010-02-01T17:51,0.00,0.00,0.00
2010-02-02,7.3,-0.5,4.5,2010-02-02T08:35,2010-02-02T17:53,2.60,2.60,0.00
2010-02-03,7.4,1.0,3.6,2010-02-03T08:33,2010-02-03T17:55,2.20,2.20,0.00
2010-02-04,8.0,5.0,6.9,2010-02-04T08:31,2010-02-04T17:56,0.80,0.80,0.00
2010-02-05,9.8,3.3,6.3,2010-02-05T08:30,2010-02-05T17:58,4.80,4.80,0.00
2010-02-06,8.9,2.9,5.0,2010-02-06T08:28,2010-02-06T18:00,0.00,0.00,0.00
2010-02-07,5.6,1.9,4.0,2010-02-07T08:26,2010-02-07T18:02,0.00,0.00,0.00
2010-02-08,2.6,0.1,1.4,2010-02-08T08:25,2010-02-08T18:04,0.60,0.60,0.00
2010-02-09,4.7,-0.2,1.5,2010-02-09T08:23,2010-02-09T18:06,0.00,0.00,0.00
2010-02-10,2.3,-1.4,0.6,2010-02-10T08:21,2010-02-10T18:07,0.40,0.20,0.14
2010-02-11,2.1,-1.4,0.1,2010-02-11T08:19,2010-02-11T18:09,0.00,0.00,0.00
2010-02-12,4.3,0.0,1.7,2010-02-12T08:17,2010-02-12T18:11,0.20,0.20,0.07
2010-02-13,2.7,0.3,1.4,2010-02-13T08:16,2010-02-13T18:13,0.20,0.20,0.00
2010-02-14,3.8,-1.8,0.9,2010-02-14T08:14,2010-02-14T18:15,0.60,0.60,0.14
2010-02-15,2.8,-1.3,0.7,2010-02-15T08:12,2010-02-15T18:17,0.00,0.00,0.14
2010-02-16,4.4,2.0,3.3,2010-02-16T08:10,2010-02-16T18:18,10.50,10.50,0.00
2010-02-17,6.2,-1.3,2.4,2010-02-17T08:08,2010-02-17T18:20,2.10,2.00,0.07
2010-02-18,6.3,-2.0,2.1,2010-02-18T08:06,2010-02-18T18:22,4.70,4.70,0.00
2010-02-19,5.0,-1.1,1.8,2010-02-19T08:04,2010-02-19T18:24,0.20,0.20,0.00
2010-02-20,5.1,-3.7,0.2,2010-02-20T08:02,2010-02-20T18:26,0.10,0.10,0.00
2010-02-21,7.2,-4.0,1.5,2010-02-21T08:00,2010-02-21T18:27,6.30,4.60,1.19
2010-02-22,2.8,0.9,2.1,2010-02-22T07:58,2010-02-22T18:29,11.80,10.00,1.26
2010-02-23,3.8,0.8,2.2,2010-02-23T07:56,2010-02-23T18:31,1.80,1.80,0.00
2010-02-24,10.6,3.8,6.8,2010-02-24T07:54,2010-02-24T18:33,3.00,3.00,0.00
2010-02-25,9.0,4.8,7.1,2010-02-25T07:52,2010-02-25T18:35,5.70,5.70,0.00
2010-02-26,8.1,3.8,6.1,2010-02-26T07:50,2010-02-26T18:36,1.00,1.00,0.00
2010-02-27,9.7,2.7,6.4,2010-02-27T07:47,2010-02-27T18:38,6.00,6.00,0.00
2010-02-28,5.7,3.1,4.9,2010-02-28T07:45,2010-02-28T18:40,11.60,11.60,0.00
2010-03-01,8.4,-1.2,3.9,2010-03-01T07:43,2010-03-01T18:42,0.00,0.00,0.00
2010-03-02,8.6,-0.3,4.3,2010-03-02T07:41,2010-03-02T18:43,0.00,0.00,0.00
2010-03-03,5.5,1.1,2.9,2010-03-03T07:39,2010-03-03T18:45,0.00,0.00,0.00
2010-03-04,6.3,-1.0,3.2,2010-03-04T07:37,2010-03-04T18:47,0.00,0.00,0.00
2010-03-05,7.5,-3.2,2.0,2010-03-05T07:34,2010-03-05T18:49,0.00,0.00,0.00
2010-03-06,5.9,-0.7,2.7,2010-03-06T07:32,2010-03-06T18:50,0.00,0.00,0.00
2010-03-07,2.9,-3.3,-0.3,2010-03-07T07:30,2010-03-07T18:52,0.00,0.00,0.00
2010-03-08,4.6,-3.4,0.9,2010-03-08T07:28,2010-03-08T18:54,0.00,0.00,0.00
2010-03-09,6.5,1.0,3.3,2010-03-09T07:26,2010-03-09T18:56,0.00,0.00,0.00
2010-03-10,4.8,0.8,2.8,2010-03-10T07:23,2010-03-10T18:57,0.00,0.00,0.00
2010-03-11,5.6,1.2,3.1,2010-03-11T07:21,2010-03-11T18:59,0.00,0.00,0.00
2010-03-12,8.3,-0.2,3.8,2010-03-12T07:19,2010-03-12T19:01,2.50,2.50,0.07
2010-03-13,8.5,2.6,5.6,2010-03-13T07:17,2010-03-13T19:02,0.00,0.00,0.00
2010-03-14,9.6,2.9,6.2,2010-03-14T07:14,2010-03-14T19:04,0.00,0.00,0.00
2010-03-15,11.1,2.0,6.3,2010-03-15T07:12,2010-03-15T19:06,0.00,0.00,0.00
2010-03-16,10.7,0.8,5.4,2010-03-16T07:10,2010-03-16T19:08,0.00,0.00,0.00
2010-03-17,13.4,3.5,7.9,2010-03-17T07:08,2010-03-17T19:09,0.00,0.00,0.00
2010-03-18,13.8,5.4,9.5,2010-03-18T07:05,2010-03-18T19:11,0.50,0.50,0.00
2010-03-19,11.2,8.4,10.1,2010-03-19T07:03,2010-03-19T19:13,3.90,3.90,0.00
2010-03-20,12.5,9.5,10.9,2010-03-20T07:01,2010-03-20T19:14,2.10,2.10,0.00
2010-03-21,12.4,5.3,8.8,2010-03-21T06:58,2010-03-21T19:16,0.50,0.50,0.00
2010-03-22,11.1,5.5,8.4,2010-03-22T06:56,2010-03-22T19:18,0.20,0.20,0.00
2010-03-23,12.1,0.8,7.2,2010-03-23T06:54,2010-03-23T19:19,0.20,0.20,0.00
2010-03-24,16.0,7.7,11.0,2010-03-24T06:52,2010-03-24T19:21,1.80,1.80,0.00
2010-03-25,13.7,8.2,11.0,2010-03-25T06:49,2010-03-25T19:23,7.50,7.50,0.00
2010-03-26,11.7,6.9,9.0,2010-03-26T06:47,2010-03-26T19:24,0.50,0.50,0.00
2010-03-27,12.6,6.6,9.1,2010-03-27T06:45,2010-03-27T19:26,1.00,1.00,0.00
2010-03-28,12.5,4.5,8.2,2010-03-28T06:42,2010-03-28T19:28,3.00,3.00,0.00
2010-03-29,11.4,6.7,9.1,2010-03-29T06:40,2010-03-29T19:29,8.60,8.60,0.00
2010-03-30,11.3,4.8,7.8,2010-03-30T06:38,2010-03-30T19:31,5.80,5.80,0.00
2010-03-31,5.4,2.9,4.5,2010-03-31T06:36,2010-03-31T19:33,3.90,3.90,0.00
2010-04-01,9.0,1.0,4.8,2010-04-01T06:33,2010-04-01T19:35,0.80,0.80,0.00
2010-04-02,9.1,4.9,6.5,2010-04-02T06:31,2010-04-02T19:36,6.30,6.30,0.00
2010-04-03,10.6,4.1,7.0,2010-04-03T06:29,2010-04-03T19:38,4.10,4.10,0.00
2010-04-04,10.2,4.4,6.8,2010-04-04T06:27,2010-04-04T19:40,3.00,3.00,0.00
2010-04-05,11.8,3.2,7.8,2010-04-05T06:24,2010-04-05T19:41,0.30,0.30,0.00
2010-04-06,14.4,6.1,10.2,2010-04-06T06:22,2010-04-06T19:43,0.00,0.00,0.00
2010-04-07,12.9,5.5,8.9,2010-04-07T06:20,2010-04-07T19:45,0.30,0.30,0.00
2010-04-08,14.5,2.3,8.8,2010-04-08T06:18,2010-04-08T19:46,0.00,0.00,0.00
2010-04-09,16.4,5.9,11.1,2010-04-09T06:15,2010-04-09T19:48,0.00,0.00,0.00
2010-04-10,15.0,5.0,10.1,2010-04-10T06:13,2010-04-10T19:50,0.00,0.00,0.00
2010-04-11,11.2,4.5,7.5,2010-04-11T06:11,2010-04-11T19:51,0.00,0.00,0.00
2010-04-12,12.3,4.9,8.2,2010-04-12T06:09,2010-04-12T19:53,0.60,0.60,0.00
2010-04-13,12.9,3.3,7.8,2010-04-13T06:07,2010-04-13T19:55,0.00,0.00,0.00
2010-04-14,10.0,4.5,7.3,2010-04-14T06:04,2010-04-14T19:56,0.00,0.00,0.00
2010-04-15,12.5,2.9,7.5,2010-04-15T06:02,2010-04-15T19:58,0.00,0.00,0.00
2010-04-16,10.8,3.6,7.1,2010-04-16T06:00,2010-04-16T20:00,0.00,0.00,0.00
2010-04-17,13.8,2.2,7.6,2010-04-17T05:58,2010-04-17T20:01,0.00,0.00,0.00
2010-04-18,16.2,3.0,9.7,2010-04-18T05:56,2010-04-18T20:03,0.00,0.00,0.00
2010-04-19,14.3,6.1,9.9,2010-04-19T05:54,2010-04-19T20:05,0.00,0.00,0.00
2010-04-20,12.4,4.1,8.7,2010-04-20T05:52,2010-04-20T20:06,0.00,0.00,0.00
2010-04-21,10.9,1.5,6.6,2010-04-21T05:50,2010-04-21T20:08,0.00,0.00,0.00
2010-04-22,11.7,2.9,7.1,2010-04-22T05:47,2010-04-22T20:10,0.00,0.00,0.00
2010-04-23,14.3,3.2,8.7,2010-04-23T05:45,2010-04-23T20:11,0.00,0.00,0.00
2010-04-24,17.7,1.9,10.3,2010-04-24T05:43,2010-04-24T20:13,0.00,0.00,0.00
2010-04-25,17.0,6.8,11.9,2010-04-25T05:41,2010-04-25T20:15,2.00,2.00,0.00
2010-04-26,16.2,8.8,12.1,2010-04-26T05:39,2010-04-26T20:16,1.10,1.10,0.00
2010-04-27,18.4,6.8,12.7,2010-04-27T05:37,2010-04-27T20:18,0.00,0.00,0.00
2010-04-28,18.7,6.9,13.1,2010-04-28T05:35,2010-04-28T20:20,0.10,0.10,0.00
2010-04-29,19.0,8.3,13.7,2010-04-29T05:33,2010-04-29T20:21,1.70,1.70,0.00
2010-04-30,14.8,8.5,11.7,2010-04-30T05:31,2010-04-30T20:23,1.60,1.60,0.00
2010-05-01,14.0,7.9,10.8,2010-05-01T05:30,2010-05-01T20:25,4.30,4.30,0.00
2010-05-02,9.2,5.3,8.1,2010-05-02T05:28,2010-05-02T20:26,10.90,10.90,0.00
2010-05-03,10.4,4.2,7.0,2010-05-03T05:26,2010-05-03T20:28,0.30,0.30,0.00
2010-05-04,10.1,3.6,6.9,2010-05-04T05:24,2010-05-04T20:29,0.00,0.00,0.00
2010-05-05,13.3,3.1,8.6,2010-05-05T05:22,2010-05-05T20:31,0.00,0.00,0.00
2010-05-06,13.6,6.6,9.3,2010-05-06T05:21,2010-05-06T20:33,0.00,0.00,0.00
2010-05-07,12.0,5.1,8.2,2010-05-07T05:19,2010-05-07T20:34,0.30,0.30,0.00
2010-05-08,9.4,5.7,7.7,2010-05-08T05:17,2010-05-08T20:36,1.40,1.40,0.00
2010-05-09,11.6,6.2,8.4,2010-05-09T05:15,2010-05-09T20:37,0.20,0.20,0.00
2010-05-10,11.7,3.5,7.6,2010-05-10T05:14,2010-05-10T20:39,0.00,0.00,0.00
2010-05-11,10.0,2.8,6.8,2010-05-11T05:12,2010-05-11T20:41,0.30,0.30,0.00
2010-05-12,10.8,0.1,6.4,2010-05-12T05:11,2010-05-12T20:42,0.20,0.20,0.00
2010-05-13,11.8,1.6,7.4,2010-05-13T05:09,2010-05-13T20:44,0.40,0.40,0.00
2010-05-14,13.2,3.2,8.8,2010-05-14T05:07,2010-05-14T20:45,0.00,0.00,0.00
2010-05-15,15.3,2.8,9.9,2010-05-15T05:06,2010-05-15T20:47,0.00,0.00,0.00
2010-05-16,14.2,5.1,10.2,2010-05-16T05:04,2010-05-16T20:48,4.30,4.30,0.00
2010-05-17,15.1,5.0,11.0,2010-05-17T05:03,2010-05-17T20:50,0.30,0.30,0.00
2010-05-18,16.7,6.7,12.1,2010-05-18T05:02,2010-05-18T20:51,0.10,0.10,0.00
2010-05-19,19.2,7.7,14.0,2010-05-19T05:00,2010-05-19T20:53,0.00,0.00,0.00
2010-05-20,19.6,9.3,15.8,2010-05-20T04:59,2010-05-20T20:54,0.10,0.10,0.00
2010-05-21,21.5,13.1,17.6,2010-05-21T04:58,2010-05-21T20:56,0.00,0.00,0.00
2010-05-22,20.5,9.5,14.8,2010-05-22T04:56,2010-05-22T20:57,0.00,0.00,0.00
2010-05-23,24.6,8.9,17.4,2010-05-23T04:55,2010-05-23T20:58,0.00,0.00,0.00
2010-05-24,25.5,11.6,18.9,2010-05-24T04:54,2010-05-24T21:00,0.00,0.00,0.00
2010-05-25,17.1,10.5,13.7,2010-05-25T04:53,2010-05-25T21:01,0.00,0.00,0.00
2010-05-26,14.6,9.6,11.4,2010-05-26T04:52,2010-05-26T21:02,0.00,0.00,0.00
2010-05-27,15.3,9.1,11.3,2010-05-27T04:51,2010-05-27T21:04,2.80,2.80,0.00
